功能类型,接口/配置字段,,配置名,接口/配置说明,,参数,参数使用注意说明（仅供内部参考，给客户时需要去掉此列）,参数说明,影响,可选配置,,默认值,,"特殊要求
（内部评审时不要删掉该列）",合唱主播/单唱主播/语聊主持人,,麦上普通语聊主播,,麦下观众,,备注（仅供内部参考，给客户时需要去掉此列）,配置原因,"兼容性考量
（仅供内部参考，给客户时需要去掉此列）",友商配置（如果涉及多家，都列出来）
,,,,,,,,,,,,Android,iOS,,Android,iOS,Android,iOS,Android,iOS,,,,
隐藏配置,setEngineConfig,"engineConfig.advancedConfig.put(""max_channels"", ""xxx"")",设置拉流最大通道数,SDK拉流数上限配置,,int,"通过 setConfig 设置最大拉流数量，目前最大拉流数量为 50 路。最大拉流设置设置的时候需要注意，由于引擎的初始化就申请好空间的，所以路数越多，初始化是内存增量越大。
如果是自动拉流逻辑，那么需要比客户要求的最大拉流数量要大4～6 路，避免异常原因导致流的残留进而占有了一个通道。",最大拉流数,拉流,0 ~ 50,,12,,,25,25,25,25,25,25,"当前业务实际配置
 代码上可以不需要配置",,\,
,,"engineConfig.advancedConfig.put(""prep_high_pass_filter"", ""xxx"")",高通滤波器开关,高通滤波器开关,,true/false,"一般情况下，正常通话的情况下，采集到的声音都是在一定的频率范围之内。当低于一定阈值的声音，我们认为是 50HZ，我们可以认为是杂音。高通滤波主要的作用就是过滤掉低于该范围的内容，保证通话质量。但是对于采集声音包含音乐的，这个过滤就会损伤音质。

有音乐通过采集输入的场景，如声卡输入，需要主动关闭高通滤波。",开关,音质,开/关,,开,,,"""false""","""false""","""false""","""false""","""false""","""false""",可以统一设置，无需区分角色,,\,
,,"engineConfig.advancedConfig.put(""ultra_low_latency"", ""xxx"")",超低延时模式开关,超低延时模式开关,,true/false,"【全平台】
会调整 jitter 水位变化的策略，使之更加激进。导致的影响就是当网络波动的时候，除非快进和慢放的概率更高，并且快进和慢放的效果会更加明显。

【只针对 Android】
内部会根据经验选择合适的采集渲染API来达到最低的采集渲染延迟。一般采集渲染延迟在 120ms 左右才能勉强满足合唱的需求。
⚠️使用注意事项：由于最低延迟采集渲染 API 组合可能随着系统版本或者 SDK 内部策略进行调整，必然的引入兼容性的问题，不满足的场景不能使用。
1、对于音频端到端延迟有极致的要求的，如实时合唱场景，必须要打开该功能。
2、对于音乐场景，客户对耳返有极致要求的，此时也可以打开该配置。",开关,延迟,开/关,,关,,,"""true""","""true""","""true""","""true""","""true""","""true""",,,\,
,,"engineConfig.advancedConfig.put(""enable_earphone_aec_adaptive"", ""xxx"")",戴耳机自适应回声消除开关,戴耳机自适应回声消除开关,,true/false,"正常情况下，为了避免线路回声，保证通话质量，戴耳机的时候引擎也会进行回声消除处理。由于全程都使用回声消除，当人声和伴奏播放的声音（参考信号）略微接近的情况，就可能会消除操作，导致人声的损伤。
打开该功能后，引擎会在带耳机的情况下，进行线路回声的识别判断，当发现没有线路回声，则不进行回声消除，保证人声质量。

1、在音乐场景，都需要打开该配置。",开关,音质,开/关,,关,,,"""true""","""true""","""true""","""true""","""true""","""true""",,,\,
,,"engineConfig.advancedConfig.put(""bluetooth_capture_only_voip"", ""xxx"")",媒体音量下蓝牙设备仅播放开关,媒体音量下蓝牙设备仅用于播放开关,,true/false,"蓝牙耳机区分两种工作模式，单工模式和双工模式。
单工模式：只播放，不能采集，采集使用手机只带麦克风，只能使用媒体音量模式。
双工模式：即采集又播放，这种模式下只能使用通话音量模式。通话音量模式下，系统采集将走系统 3A，此时会引入明显的采集延迟；同时蓝牙耳机双工的情况下，由于协议的原因，传输的码率有限（看蓝牙耳机价格），播放音质会有明显的下降。

1、音乐场景，只要存在既采集又播放的情况，都建议关闭该功能。",开关,音质/耳返延迟,开/关,,关,关,,"""true""","""true""","""true""","""true""","""true""","""true""",音乐场景，只要存在既采集又播放的情况，都建议关闭该功能。,,\,
,,"engineConfig.advancedConfig.put(""auxiliary_delay_mode"", ""xxx"")",设置伴奏对齐延时模式,设置伴奏对齐延时模式,,mode,"播放器在解码数据后，会将解码后的数据分别混入本地播放的数据和即将推流的数据（包含人声）中。在唱歌场景，用户是根据听到的内容进行演唱的，由于系统的采集和渲染存在延时，此时用户听到的内容和引擎实际提供的内容存在一定的时间误差。同理采集也是类似的，系统采集到的内容和用户实际唱的存在一定的误差。如果不做任何的纠正，即使演唱端节奏是完成正确的，观众端也会体验到人声和伴奏对不齐到情况，具体差异程度根据手机的采集渲染延迟有关。
引擎利用回声消除线性拟合的逻辑，可以估算出设备的采集渲染延迟。然后在播放器混入声音的时候，偏移采集渲染延时后才进行混入，就能保证人声和伴奏的对齐。

1、使用 ZEGO 播放器播放音乐，用户跟唱的场景都建议使用自适应策略。如实时 KTV，单唱，抢唱等。
⚠️注意：该配置只影响计算延时的策略，默认是固定偏移值（本地有固定值，可以通过云控修改）；可以修改成自适应模式，会根据回声消除算法估算的采集渲染延迟作为偏移值。然后播放器混音偏移和合唱场景人声偏移都会使用该偏移值。",对齐延时模式,人声伴奏对齐,0（自适应模式）/1（固定模式）,,1（固定模式）,,,0,0,0,0,0,0,,,\,
,,"engineConfig.advancedConfig.put(""ktv_adapt_device_delay"", ""xxx"")",主路推流时间戳偏移设备采集播放开关,主路推流时戳偏移设备采集播放延迟开关,,true/false,"原理跟《设置伴奏对齐延时模式》类似，但是在合唱场景，人声和伴奏是分开两路流的，并且合唱用户也需要跟伴奏流对齐。由于合唱场景中，我们认为唱歌用户本地伴奏同一时刻解码的内容是一致的，假设所有合唱用户都推伴奏流，那么他们推的内容理论上是一致的，即这种假设下合唱用户推的伴奏流跟领唱者推伴奏流是没有差异的（主要指推的内容和对于的时间戳）。基于上面的假设，我们可以推导出，合唱用户的人声流和领唱用户的伴奏流时间戳是可以对比的。在 KTV 场景，拉流端（包括混流端）会对所有能对齐的流（领唱者的人声流，伴奏流，合唱用户的人声流）根据流的时间戳进行对齐。此时只需要对所有人声流进行采集渲染延迟的偏移，就能是对齐后的内容是人声伴奏对齐的。
在实时合唱场景中，必须要打开该配置。",开关,人声伴奏对齐,开/关,,关,,,"""true""","""true""","""true""","""true""","""true""","""true""",,,\,
,,"engineConfig.advancedConfig.put(""when_to_use_low_precision_network_time"", ""xxx"")",设置NTP同步超时时间,设置 NTP 同步超时时间,,int,"多流对齐的基本要求是每条流的时间戳都是基于同一个时间基准的，基于这个要求，当推流是指定 publisherConfig.forceSynchronousNetworkTime 为1时，SDK 内部会先同步好 NTP 时间，再进行推流。虽然内部做了多套容灾策略尽量保障 NTP 时间的获取成功，但是还是存在极少数 case，如路由器不允许访问 NTP 服务等情况，导致 NTP 不能正常获取。
1、部分客户期望牺牲对齐体验来换取正常的推流，那么可以设置该值。（当超过指定时间获取不到 NTP 时间，那么会降级通过其他策略获取时间。策略如下：NTP -> 柔性配置的 NTP 时间 -> 本地时间）",NTP 同步超时时间(ms),多流对齐,0/5000~60000,,0（不超时）,,,10000,10000,10000,10000,10000,10000,,,\,
,,"engineConfig.advancedConfig.put(""emulation_prevention_byte"", ""xxx"")",SEI 防竞争处理,"开启 sei 防竞争处理
",,true/false,"H.264规定，当检测到 0x000000 时，也可以表示当前 NALU 的结束；当检测到 0x000001 时，表示当前 NALU 开始。由于 SEI 也是 NALU 的一部分因此，如果 SEI 内包含了 0x000000、0x000001 等内容，则就会导致 NALU 异常；另外0x000002 是作为保留使用，而 0x000003，则是为了防止 NALU 内部，原本就有序列为 0x000003 这样的数据。因此，防竞争操作就是调用 sendSEI 接口以后，SDK 内部会确保 SEI 能正常发送，会针对 payload type = 5 或者 243（Express 当前 type）的 SEI 内容遍历一次，替换 0x000000、0x000001、0x000002、0x000003 四种特殊内容，同时接收端收到 SEI 后，进行还原处理。

⚠️使用注意事项：
1. 必须保证 SEI 的发送和接收端这个配置的值是一致，否则会存在解析异常。（如发送端开启这个功能，但是接收端没有开启，那么接收端会认为防竞争码是正常的数据直接回调给外部）
2. 要新业务或者之前没有发送过 sei 的情况下，才能设置
",开关,兼容性,开/关,,关,,,"""true""","""true""","""true""","""true""","""true""","""true""",规避其他业务场景的潜在冲突,,"1. 此前没有给过客户该配置
 2. 客户当前appid 下没有sei 的使用历史",
,,"engineConfig.advancedConfig.put(""music_detection_mode"", ""xxx"")",音乐检测模式,音乐检测模式,,mode,"对于 3.10.0 及以后的版本，更推荐用该config。

是 enable_music_detection 的进阶版本；新版本的音乐检测模块，一共影响 3 个能力，ANS、AGC、VAD（实际上 DTX 也会受到影响）
mode = 0
此时等于关闭音乐检测
mode = 1，音乐检测不与降噪模式挂钩
即，此时音乐检测仅影响 AGC 与 VAD，不会修改 ANS 相关配置
mode = 2
此时音乐检测除 AGC、VAD以外，将额外影响 ANS，适用于音乐场景
即，当引擎检测到音乐时，将会临时关闭 AGC，同时 VAD 将会把音乐判断为人声，从而不会发送静音帧，确保音乐表现正常

另外：自 Express 3.10 以后，enable_music_detection=true 实际等于 music_detection_mode=2，但是引擎更推荐使用 music_detection_mode

且需要注意的是，SDK 强制该 Config 在 createEngine 之前设置

关于为什么修改 VAD 就能影响 DTX，可以参考文档：
enableDTX、enableVAD接口的使用
",检测模式,音质,0/1/2,,0,,,2,2,2,2,2,2,,,\,
,,"engineConfig.advancedConfig.put(""jitter_level_compensation"", ""xxx"")",水位补偿开关,水位补偿开关,,true/false,"默认情况下
为了尽快显示音频首帧，拉到音频数据就会直接播放。
VRS（RTC 媒体服务）是不会对音频数据进行缓存策略的。
引擎在音频数据没有达到 minBufferLevel 时，默认策略是通过慢放来累积数据，直到满足 minBufferLevel 后才回复正常播放。
因此，当设置minBufferLevel 到一定值后，如 300ms，一开始拉流由于音频水位没有到 minBufferLevel，所以会出现先慢放后正常播放器的情况。
 
为了解决上面问题，可以打开这个 Config，此时引擎会填充固定长度的静音帧，来缓解慢放的效果。
当 minBufferLevel 小于等于 200ms 时，引擎是不会填充静音帧数据。
当 minBufferLevel 大于 200ms 时，小于 550ms 时，引擎会填充 minBufferLevel - 50 的静音帧。
当 minBufferLevel 大于等于 550ms 时，引擎会填充固定的 500ms 的静音帧。
⚠️ 使用注意事项：
该配置由于填充了静音帧，所以不会影响音频首帧耗时的统计，但是会影响实际听觉的音频首帧。",开关,体验,开/关,,关,,,"""true""","""true""","""true""","""true""","""true""","""true""",,,\,
,,"engineConfig.advancedConfig.put(""audio_capture_dummy"", ""xxx"")",音频设备采集补静音帧开关,音频设备采集补静音帧开关,,true/false,"仅 Android、iOS 有效
默认情况下，只要采集模块没有工作，那么就不会产生音频数据给到后续步骤，此时会导致某些功能异常，如混音、AudioSideInfo 等功能。
什么情况下会导致采集模块不工作呢？
- 【Android】
 1. 没有授予麦克风权限
 2. enableAudioCaptureDevice false
 3. 设备异常
- 【iOS】
 1. enableAudioCaptureDevice false
 2. 设备异常
打开这个 Config 后，enableAudioCaptureDevice false 以及设备异常时，会触发假采集驱动静音帧数据的产生，保证依赖音频数据的功能能正常工作。
1. 当客户使用了依赖音频数据的相关功能时，如 混音、AudioSideInfo 等功能，并且存在 enableAudioCaptureDevice false 行为，可以打开这个配置，此时推荐连 start_dummy_no_permission=true 配置也一起打开。

⚠️使用注意事项：
开启 audio_capture_dummy=true 后，如果 Android 没有授予麦克风使用权限，是不会触发假采集逻辑。iOS 在没有权限的情况下，系统会直接返回静音帧数据，不需要触发假采集逻辑。",开关,体验,开/关,,关,,,"""true""","""true""","""true""","""true""","""true""","""true""",在采集设备被打断时能正常采集静音帧数据,,\,
,,"engineConfig.advancedConfig.put(""bypass_audio_capture_preset_eq"", ""xxx"")",Android 关闭音频采集默认EQ,Android音频采集默认EQ开关,,true/false,"仅 Android 有效
针对 Android 手机，引擎认为其内置麦克风采集的声音质量一般，固添加了一个固定的 EQ 配置，主要是高频信号偏差，对采集的高频信号进行调整处理。这里仅对内容中麦克风采集的内容生效，如带耳机后，这个 EQ 将不会生效。
1. 当客户觉得这个 EQ 的效果不佳或者存在模拟器的场景的情况下（模拟器上，即使是声卡输出，识别的还是内置麦克风输入，所以此时默认 EQ 将会生效），需要主动打开这个 Config，避开默认的 EQ 处理。",开关,音质,开/关,,关,\,Android模拟器+声卡,"""true""",\,"""true""",\,\,\,如果业务上无法明确区分是否模拟器，那么不需要配置这两项配置,,,
,,"engineConfig.advancedConfig.put(""allow_capture_stereo_when_speaker_route"", ""xxx"")",Android Speaker模式下双声道采集开关,Android Speaker模式下双声道采集开关,,true/false,"仅 Android 有效。
默认情况下，Android 即使通过 setAudioCaptureStereoMode stereo 指定为双声道采集，实际上在非 USB_XXX 路由情况下，前处理输出的也仅是单声道。
这里因为在非 USB_XXX 路由情况下，仅Speaker 路由才支持双声道采集，但是这个路由下，双声道采集效果是一般的，同时引擎也基于这个 Speaker 路由的双声道采集能力做了 AEC 效果优化，这个优化在仅处理单声道效果下得到最优值。因此引擎会在 Speaker 路由情况下，默认前处理仅处理并输出单声道结果。
但是针对 Android 使用模拟器场景，即使 PC 接入声道，但是 Android 模拟器是不会存在任何路由变化的，还是保持在之前默认的 Speaker 路由上。此时采集是存在明显的双声道效果的。为了能让输出的音质效果达到最优，此时可以打开这个 Config。
1. 针对有模拟器+声卡结合使用的场景，或者希望 Speaker 模式下也需要有明显的双声道效果的，可以打开这个配置。",开关,音质,开/关,,关,\,Android模拟器+声卡,"""true""",\,"""true""",\,\,\,,,,
,,"engineConfig.advancedConfig.put(""enable_dtx"", ""xxx"")",DTX开关,离散静音帧开关,,true/false,,开关,省流,开/关,,关,,,"""true""","""true""","""true""","""true""","""true""","""true""",线上配置，同步配置,,,
创建引擎,createEngine,,设置SDK初始化场景模式,场景模式,,scenario,"具体配置参考
参考文档：场景化profile
https://doc.weixin.qq.com/sheet/e3_Ad4ADAYPAGs3ykXu54iSnGRaJmiG1?scode=AGUAdAcQAAkaOcK6zjADIA3AbtAPM&tab=aab64b",场景模式,音质,Broadcast/StandardVideoCall/HighQualityVideoCall,,Default,,,General,General,General,General,General,General,,,\,
