功能类型,接口/配置字段,配置名,接口/配置说明,参数,参数说明,影响,可选配置,默认值,iOS 场景A,iOS 场景B,Android 场景A,Android 场景B,注意事项,配置原因
,,,,,,,,,,,,,,
=========== SDK 初始化配置 ===========,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
隐藏配置,advancedConfig,prep_high_pass_filter,高通滤波器开关,true/false,开关,音质,开/关,关,false,false,false,false,音乐场景关闭,
隐藏配置,advancedConfig,ultra_low_latency,超低延迟模式,true/false,开关,延迟,开/关,关,true,true,true,true,合唱场景开启,
隐藏配置,advancedConfig,music_detection_mode,音乐检测模式,0/1/2,模式,音质,,0,2,2,2,2,音乐场景用2,
,,,,,,,,,,,,,,
=========== 音频配置 ===========,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
音频功能,setAudioConfig,codecID,音频编码格式,Default/Normal/Normal2/Low3,编码格式,延迟/音质,,Default,Low3,Low3,Low3,Low3,合唱用Low3,
音频功能,setAudioConfig,bitrate,音频码率,8-192,码率(kbps),音质,,48,128,128,128,128,高音质用128,
音频功能,setAudioConfig,channel,音频声道,Mono/Stereo,声道数,音质,,Mono,Stereo,Stereo,Stereo,Stereo,双声道,
音频功能,setAudioDeviceMode,设备模式,音频设备模式,Auto/General/Communication2,模式,音质/延迟,,Auto,General,General,General,General,KTV用General,
,,,,,,,,,,,,,,
=========== 3A 配置 ===========,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
音频功能,enableAEC,回声消除,是否开启AEC,true/false,开关,音质,,true,true,true,true,true,
音频功能,setAECMode,AEC模式,回声消除模式,Aggressive/Medium/Soft,模式,音质,,Aggressive,Soft,Soft,Soft,Soft,音乐场景用Soft,
音频功能,enableANS,噪声抑制,是否开启ANS,true/false,开关,音质,,true,true,true,true,true,
音频功能,setANSMode,ANS模式,噪声抑制模式,Aggressive/Medium/Soft,模式,音质,,Medium,Medium,Medium,Medium,Medium,
音频功能,enableHeadphoneAEC,耳机AEC,耳机回声消除,true/false,开关,音质,,true,false,false,false,false,音乐场景关闭,
,,,,,,,,,,,,,,
=========== 推流配置 ===========,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
多流对齐,setStreamAlignmentProperty,流对齐属性,推流对齐,0/1,对齐属性,多流对齐,,0,1,1,1,1,合唱用1,
推流配置,forceSynchronousNetworkTime,强制网络时间同步,同步网络时间,0/1,同步模式,多流对齐,,0,1,1,1,1,配合流对齐使用,
,,,,,,,,,,,,,,
=========== 拉流配置 ===========,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
拉流配置,setPlayStreamBufferIntervalRange,minBufferInterval,拉流缓冲下限,0-4000,ms,抗弱网,,-1,0,300,0,300,合唱用0,
拉流配置,setPlayStreamBufferIntervalRange,maxBufferInterval,拉流缓冲上限,min-4000,ms,抗弱网,,-1,30,4000,30,4000,合唱用30,
拉流配置,setPlayStreamsAlignmentProperty,拉流对齐属性,拉流端对齐,None/Try,对齐属性,多流对齐,,None,Try,Try,Try,Try,
